# ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken, PA.
#
# Solar constant 1366.1 W/m2
#
# Irradiance is averaged over a small bandwidth centered at the given wavelength.
#
# Table 3
# Units: μm, W/m2/μm, W/m2
wavelength, spectral irradiance, integrated irradiance, cumulative percent
1.876, 129.9, 1265.37, 92.63
0.4055, 1667, 115.97, 8.49
1.878, 144.1, 1265.65, 92.65
0.4065, 1589, 117.60, 8.61
1.880, 146.2, 1265.94, 92.67
0.4075, 1628, 119.21, 8.73
1.882, 147.4, 1266.23, 92.69
0.4085, 1735, 120.89, 8.85
1.884, 146.4, 1266.52, 92.71
0.4095, 1715, 122.61, 8.98
1.886, 143.9, 1266.81, 92.73
0.4105, 1532, 124.24, 9.09
1.888, 145.3, 1267.10, 92.75
0.4115, 1817, 125.91, 9.22
1.890, 142.4, 1267.39, 92.77
0.4125, 1789, 127.71, 9.35
1.892, 140.8, 1267.67, 92.80
0.4135, 1756, 129.49, 9.48
1.894, 139.6, 1267.95, 92.82
0.4145, 1737, 131.23, 9.61
1.896, 137.3, 1268.23, 92.84
0.4155, 1734, 132.97, 9.73
1.898, 139.0, 1268.51, 92.86
0.4165, 1842, 134.76, 9.86
1.900, 139.7, 1268.78, 92.88
0.4175, 1665, 136.51, 9.99
1.902, 140.9, 1269.07, 92.90
0.4185, 1684, 138.18, 10.12
1.904, 138.6, 1269.34, 92.92
0.4195, 1701, 139.88, 10.24
1.906, 139.0, 1269.62, 92.94
0.4205, 1757, 141.60, 10.37
1.908, 137.7, 1269.90, 92.96
